symbol;company;purpose;bm_desc;date
KRBL;KRBL Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
LAXMIMACH;Lakshmi Machine Works Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
LGBBROSLTD;LG Balakrishnan & Bros Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
M&M;Mahindra & Mahindra Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
MANKIND;Mankind Pharma Limited;Financial Results;Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of Board of Directors of the Company will be held on Wednesday, July 31, 2024, inter-alia to consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ended on June 30, 2024.;31-Jul-2024
MARUTI;Maruti Suzuki India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
MURUDCERA;Murudeshwar Ceramics Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;31-Jul-2024
NECCLTD;North Eastern Carrying Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
NIBL;NRB Industrial Bearings Limited;Financial Results;To consider and approve the Unaudited Standalone and Consolidated  financial results for the period ended Jun 30, 2024;31-Jul-2024
NILKAMAL;Nilkamal Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
NITINFIRE;Nitin Fire Protection Industries Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;31-Jul-2024
NITINFIRE;Nitin Fire Protection Industries Limited;Financial Results;To consider and approve the annual consolidated financial results for the period ended March 31, 2024;31-Jul-2024
NUVOCO;Nuvoco Vistas Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ONMOBILE;OnMobile Global Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ORTINLAB;Ortin Laboratories Limited;Other business matters;To consider other business matters;31-Jul-2024
OSWALAGRO;Oswal Agro Mills Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
OSWALGREEN;Oswal Greentech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
OSWALGREEN;Oswal Greentech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
PHOENIXLTD;The Phoenix Mills Limited;Bonus;The Board of Directors of the Company may inter alia consider a proposal for issue of bonus shares to the equity shareholders of the Company.;31-Jul-2024
PHOENIXLTD;The Phoenix Mills Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
PRESTIGE;Prestige Estates Projects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
PRICOLLTD;Pricol Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
PURVA;Puravankara Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
REDINGTON;Redington Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
RELAXO;Relaxo Footwears Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
RITES;RITES Limited;Financial Results/Dividend;Board Meeting Intimation For Consideration And Approval Of Standalone And Consolidated Unaudited Financial Results For The Quarter Ended On 30.06.2024 And For Consideration Of Payment Of First Interim Dividend, For The F.Y 2024-25, If Any;31-Jul-2024
RITES;RITES Limited;Bonus;Update on Board Meeting - Board to consider the issuance of Bonus Shares;31-Jul-2024
SASKEN;Sasken Technologies Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
SATIN;Satin Creditcare Network Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
SELAN;Selan Exploration Technology Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
SONATSOFTW;Sonata Software Limited;Financial Results;To consider, approve and take on record the un-audited financial results of the Company (standalone and consolidated) for the quarter ended 30th June, 2024.;31-Jul-2024
SPCENET;Spacenet Enterprises India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
STEELXIND;STEEL EXCHANGE INDIA LIMITED;Financial Results/Other business matters;To consider and approve the Unaudited financial results of the company for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
STYLAMIND;Stylam Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
SUNDRMFAST;Sundram Fasteners Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
TATAINVEST;Tata Investment Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
TATASTEEL;Tata Steel Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
TCNSBRANDS;TCNS Clothing Co. Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
TEAMLEASE;Teamlease Services Limited;Financial Results;TeamLease - Intimation of Q1 Board Meeting for Financial Year 24-25;31-Jul-2024
THOMASCOOK;Thomas Cook  (India)  Limited;Financial Results;To consider and approve the Unaudited Financial Results of the Company (Standalone and Consolidated) for the quarter ended June 30, 2024.;31-Jul-2024
TRACXN;Tracxn Technologies Limited;Financial Results/Other business matters;To consider and approve the Un-audited financial results for the quarter ended June 30, 2024.;31-Jul-2024
UGROCAP;Ugro Capital Limited;Financial Results/Other business matters;Intimation of the meeting of the Board of Directors scheduled to be held on Wednesday, 31st July 2024 and closure of trading window;31-Jul-2024
VIKASECO;Vikas EcoTech Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
ZEEL;Zee Entertainment Enterprises Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
