symbol;company;purpose;bm_desc;date
SYNGENE;Syngene International Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
TATVA;Tatva Chintan Pharma Chem Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
TIPSINDLTD;TIPS Industries Limited;Financial Results/Dividend;To consider and approve the unaudited financial results for the period ended Jun 30, 2024 and declaration of interim dividend, if any, for the financial year 2024-25.;24-Jul-2024
TIRUMALCHM;Thirumalai Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
TRF;TRF Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
TRIDENT;Trident Limited;Financial Results;To consider and approve Unaudited Standalone and Consolidated Financial Results for the Quarter Ended June 30, 2024;24-Jul-2024
TTML;Tata Teleservices (Maharashtra) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
VARDHACRLC;Vardhman Acrylics Limited;Financial Results;To consider and approve the Un-audited financial results for the period ended Jun 30, 2024;24-Jul-2024
VGUARD;V-Guard Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
WELSPUNLIV;Welspun Living Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
WELSPUNLIV;Welspun Living Limited;Buyback;Prior Intimation of Board Meeting scheduled to be held on July 24, 2024 to consider Buyback of Equity Shares of the Company;24-Jul-2024
